From number,To number,Admin profit,Service provider profit,Organization profit,Call started,Call answered,Call type,Call disposition,Duration,Cost,Profit,Flow,Application,Organization,User,Service provider,Channel prefix,Channel name,Caller ID
0721*999,004916099855999,0.010537,-0.010537,0,2024-10-01 06:25:12,2024-10-01 06:25:18,out,ANSWERED,58,0,0.010537,out,Dial,Lindenberg,Hotel,SIPNow,004916099855999,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,03052002076,0.070167,-0.070167,0,2024-10-01 07:28:43,2024-10-01 07:28:45,out,ANSWERED,421,0,0.070167,out,Dial,Lindenberg,Hotel,SIPNow,03052002076,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.1513,-0.1513,0,2024-10-01 09:33:10,2024-10-01 09:33:11,out,ANSWERED,267,0,0.1513,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,00442071512460,0.007933,-0.007933,0,2024-10-01 09:52:25,2024-10-01 09:52:26,out,ANSWERED,14,0,0.007933,out,Dial,Lindenberg,Hotel,SIPNow,00442071512460,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0694940902,0.026,-0.026,0,2024-10-01 09:54:07,2024-10-01 09:54:17,out,ANSWERED,156,0,0.026,out,Dial,Lindenberg,Hotel,SIPNow,0694940902,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.1513,-0.1513,0,2024-10-01 11:01:44,2024-10-01 11:01:45,out,ANSWERED,267,0,0.1513,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.134867,-0.134867,0,2024-10-01 12:28:18,2024-10-01 12:28:19,out,ANSWERED,238,0,0.134867,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,00331410579999,0.0595,-0.0595,0,2024-10-01 16:26:53,2024-10-01 16:26:55,out,ANSWERED,105,0,0.0595,out,Dial,Lindenberg,Hotel,SIPNow,00331410579999,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.007367,-0.007367,0,2024-10-01 17:13:52,2024-10-01 17:13:53,out,ANSWERED,13,0,0.007367,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.121267,-0.121267,0,2024-10-02 08:49:02,2024-10-02 08:49:03,out,ANSWERED,214,0,0.121267,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,015251022904,0.033063,-0.033063,0,2024-10-02 08:50:55,2024-10-02 08:51:09,out,ANSWERED,182,0,0.033063,out,Dial,Lindenberg,Hotel,SIPNow,015251022904,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.225533,-0.225533,0,2024-10-02 09:23:51,2024-10-02 09:23:52,out,ANSWERED,398,0,0.225533,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.325834,-0.325834,0,2024-10-02 09:30:56,2024-10-02 09:30:57,out,ANSWERED,575,0,0.325834,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.209667,-0.209667,0,2024-10-02 09:55:36,2024-10-02 09:55:37,out,ANSWERED,370,0,0.209667,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.191533,-0.191533,0,2024-10-02 11:54:30,2024-10-02 11:54:31,out,ANSWERED,338,0,0.191533,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.115033,-0.115033,0,2024-10-02 12:59:21,2024-10-02 12:59:22,out,ANSWERED,203,0,0.115033,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,00494216367492,0.0225,-0.0225,0,2024-10-02 14:49:56,2024-10-02 14:50:07,out,ANSWERED,135,0,0.0225,out,Dial,Lindenberg,Hotel,SIPNow,00494216367492,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.009067,-0.009067,0,2024-10-03 06:00:56,2024-10-03 06:00:57,out,ANSWERED,16,0,0.009067,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057912,0.2006,-0.2006,0,2024-10-03 09:10:16,2024-10-03 09:10:18,out,ANSWERED,354,0,0.2006,out,Dial,Lindenberg,Hotel,SIPNow,0033141057912,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.111067,-0.111067,0,2024-10-04 08:06:49,2024-10-04 08:06:50,out,ANSWERED,196,0,0.111067,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.005667,-0.005667,0,2024-10-04 08:13:59,2024-10-04 08:14:00,out,ANSWERED,10,0,0.005667,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.391567,-0.391567,0,2024-10-04 08:21:04,2024-10-04 08:21:05,out,ANSWERED,691,0,0.391567,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.129767,-0.129767,0,2024-10-04 08:55:58,2024-10-04 08:55:59,out,ANSWERED,229,0,0.129767,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
0721*999,0033141057911,0.485067,-0.485067,0,2024-10-04 11:57:58,2024-10-04 11:57:59,out,ANSWERED,856,0,0.485067,out,Dial,Lindenberg,Hotel,SIPNow,0033141057911,colt telecom,"Hotel 001 Hotel" <+4969506086050>
